,sepal_score,spatially_variable
gene_203,0.35100000000000003,0
gene_204,0.341,0
gene_205,0.33,0
gene_206,0.341,0
gene_207,0.337,0
gene_208,0.331,0
gene_209,0.339,0
gene_210,0.34600000000000003,0
gene_211,0.34600000000000003,0
gene_212,0.341,0
gene_213,0.332,0
gene_214,0.339,0
gene_215,0.34600000000000003,0
gene_216,0.34900000000000003,0
gene_217,0.34400000000000003,0
gene_218,0.338,0
gene_219,0.331,0
gene_220,0.34900000000000003,0
gene_221,0.328,0
gene_222,0.339,0
gene_223,0.338,0
gene_224,0.325,0
gene_225,0.329,0
gene_226,0.34500000000000003,0
gene_227,0.331,0
gene_228,0.34600000000000003,0
gene_229,0.332,0
gene_230,0.34500000000000003,0
gene_231,0.34800000000000003,0
gene_232,0.338,0
gene_233,0.342,0
gene_234,0.333,0
gene_235,0.342,0
gene_236,0.336,0
gene_237,0.34,0
gene_238,0.334,0
gene_239,0.343,0
gene_240,0.334,0
gene_241,0.34,0
gene_242,0.34600000000000003,0
gene_243,0.336,0
gene_244,0.34700000000000003,0
gene_245,0.34,0
gene_246,0.332,0
gene_247,0.338,0
gene_248,0.34900000000000003,0
gene_249,0.342,0
