,sepal_score,spatially_variable
gene_115,0.34800000000000003,0
gene_116,0.334,0
gene_117,0.353,0
gene_118,0.35100000000000003,0
gene_119,0.34500000000000003,0
gene_120,0.338,0
gene_121,0.356,0
gene_122,0.339,0
gene_123,0.337,0
gene_124,0.334,0
gene_125,0.337,0
gene_126,0.34400000000000003,0
gene_127,0.355,0
gene_128,0.329,0
gene_129,0.34,0
gene_130,0.34,0
gene_131,0.34800000000000003,0
gene_132,0.34600000000000003,0
gene_133,0.331,0
gene_134,0.34500000000000003,0
gene_135,0.34900000000000003,0
gene_136,0.331,0
gene_137,0.34900000000000003,0
gene_138,0.34900000000000003,0
gene_139,0.327,0
gene_140,0.326,0
gene_141,0.341,0
gene_142,0.335,0
gene_143,0.34,0
gene_144,0.336,0
gene_145,0.342,0
gene_146,0.338,0
gene_147,0.353,0
gene_148,0.332,0
gene_149,0.34400000000000003,0
gene_150,0.33,0
gene_151,0.34700000000000003,0
gene_152,0.323,0
gene_153,0.354,0
gene_154,0.35100000000000003,0
gene_155,0.328,0
gene_156,0.34600000000000003,0
gene_157,0.354,0
gene_158,0.334,0
gene_159,0.355,0
gene_160,0.352,0
gene_161,0.329,0
gene_162,0.338,0
gene_163,0.34700000000000003,0
gene_164,0.343,0
gene_165,0.35100000000000003,0
gene_166,0.34500000000000003,0
gene_167,0.337,0
gene_168,0.34600000000000003,0
gene_169,0.34900000000000003,0
gene_170,0.335,0
gene_171,0.334,0
gene_172,0.354,0
gene_173,0.353,0
gene_174,0.33,0
gene_175,0.34700000000000003,0
gene_176,0.339,0
gene_177,0.34700000000000003,0
gene_178,0.353,0
gene_179,0.332,0
gene_180,0.35000000000000003,0
gene_181,0.332,0
gene_182,0.353,0
gene_183,0.34800000000000003,0
gene_184,0.338,0
gene_185,0.34400000000000003,0
gene_186,0.34900000000000003,0
gene_187,0.331,0
gene_188,0.323,0
gene_189,0.34400000000000003,0
gene_190,0.34400000000000003,0
gene_191,0.343,0
gene_192,0.34700000000000003,0
gene_193,0.35000000000000003,0
gene_194,0.353,0
gene_195,0.335,0
gene_196,0.342,0
gene_197,0.336,0
gene_198,0.34700000000000003,0
gene_199,0.335,0
gene_200,0.332,0
gene_201,0.339,0
gene_202,0.343,0
gene_203,0.352,0
gene_204,0.361,0
gene_205,0.337,0
gene_206,0.329,0
gene_207,0.34700000000000003,0
gene_208,0.339,0
gene_209,0.339,0
gene_210,0.341,0
gene_211,0.353,0
gene_212,0.338,0
gene_213,0.341,0
gene_214,0.34700000000000003,0
gene_215,0.343,0
gene_216,0.34500000000000003,0
gene_217,0.34800000000000003,0
gene_218,0.35000000000000003,0
gene_219,0.343,0
gene_220,0.35000000000000003,0
gene_221,0.338,0
gene_222,0.34700000000000003,0
gene_223,0.34400000000000003,0
gene_224,0.341,0
gene_225,0.35100000000000003,0
gene_226,0.341,0
gene_227,0.34400000000000003,0
gene_228,0.34800000000000003,0
gene_229,0.34700000000000003,0
gene_230,0.343,0
gene_231,0.335,0
gene_232,0.332,0
gene_233,0.357,0
gene_234,0.335,0
gene_235,0.34600000000000003,0
gene_236,0.34600000000000003,0
gene_237,0.337,0
gene_238,0.34800000000000003,0
gene_239,0.34600000000000003,0
gene_240,0.34500000000000003,0
gene_241,0.338,0
gene_242,0.332,0
gene_243,0.364,0
gene_244,0.354,0
gene_245,0.34500000000000003,0
gene_246,0.338,0
gene_247,0.339,0
gene_248,0.356,0
gene_249,0.34900000000000003,0
