,adjusted_pvalue,spatially_variable
gene_224,1,0
gene_225,1,0
gene_226,1,0
gene_227,1,0
gene_228,1,0
gene_229,1,0
gene_23,2.17043254066351e-15,1
gene_230,1,0
gene_231,1,0
gene_232,1,0
gene_233,1,0
gene_234,0.711876222083061,0
gene_235,1,0
gene_236,1,0
gene_237,1,0
gene_238,1,0
gene_239,1,0
gene_24,2.17043254066351e-15,1
gene_240,1,0
gene_241,1,0
gene_242,1,0
gene_243,1,0
gene_244,1,0
gene_245,1,0
gene_246,1,0
gene_247,1,0
gene_248,1,0
gene_249,1,0
gene_25,3.52766152483379e-15,1
gene_26,2.17043254066351e-15,1
gene_27,2.17043254066351e-15,1
gene_28,3.52766152483379e-15,1
gene_29,2.17043254066351e-15,1
gene_3,3.52766152483379e-15,1
gene_30,2.17043254066351e-15,1
gene_31,2.17043254066351e-15,1
gene_32,2.17043254066351e-15,1
gene_33,2.17043254066351e-15,1
gene_34,2.17043254066351e-15,1
gene_35,2.17043254066351e-15,1
gene_36,2.17043254066351e-15,1
gene_37,2.17043254066351e-15,1
gene_38,2.17043254066351e-15,1
gene_39,2.17043254066351e-15,1
gene_4,2.17043254066351e-15,1
gene_40,2.17043254066351e-15,1
gene_41,2.17043254066351e-15,1
gene_42,2.17043254066351e-15,1
gene_43,2.17043254066351e-15,1
gene_44,6.77311012768087e-15,1
gene_45,2.17043254066351e-15,1
gene_46,2.17043254066351e-15,1
gene_47,2.17043254066351e-15,1
gene_48,2.17043254066351e-15,1
gene_49,2.17043254066351e-15,1
gene_5,2.17043254066351e-15,1
gene_50,1,0
gene_51,1,0
gene_52,1,0
gene_53,0.0110514137349799,0
gene_54,1,0
gene_55,1,0
gene_56,0.238196054629085,0
gene_57,1,0
gene_58,1,0
gene_59,1,0
gene_6,2.17043254066351e-15,1
gene_60,0.231211677700141,0
gene_61,1,0
gene_62,1,0
gene_63,0.88215342222001,0
gene_64,1,0
gene_65,0.640682066982182,0
gene_66,1,0
gene_67,1,0
gene_68,1,0
gene_69,1,0
gene_7,3.52766152483379e-15,1
gene_70,1,0
gene_71,1,0
gene_72,1,0
gene_73,1,0
gene_74,1,0
gene_75,1,0
gene_76,1,0
gene_77,1,0
gene_78,1,0
gene_79,0.576356529746433,0
gene_8,2.17043254066351e-15,1
gene_80,1,0
gene_81,1,0
gene_82,1,0
gene_83,1,0
gene_84,1,0
gene_85,1,0
gene_86,1,0
gene_87,1,0
gene_88,1,0
gene_89,1,0
gene_9,2.17043254066351e-15,1
gene_90,1,0
gene_91,0.640682066982182,0
gene_92,1,0
gene_93,1,0
gene_94,1,0
gene_95,0.246242067362286,0
gene_96,1,0
gene_97,1,0
gene_98,1,0
gene_99,1,0
