,adjusted_pvalue,spatially_variable
gene_122,1,0
gene_123,1,0
gene_124,1,0
gene_125,1,0
gene_126,1,0
gene_127,1,0
gene_128,1,0
gene_129,1,0
gene_130,1,0
gene_131,1,0
gene_132,1,0
gene_133,1,0
gene_134,1,0
gene_135,0.73565452858777,0
gene_136,1,0
gene_137,1,0
gene_138,1,0
gene_139,1,0
gene_140,0.830092322212776,0
gene_141,1,0
gene_142,1,0
gene_143,1,0
gene_144,0.927246406254477,0
gene_145,1,0
gene_146,1,0
gene_147,1,0
gene_148,1,0
gene_149,1,0
gene_150,0.428344783213753,0
gene_151,1,0
gene_152,1,0
gene_153,1,0
gene_154,0.79865736074917,0
gene_155,1,0
gene_156,1,0
gene_157,1,0
gene_158,1,0
gene_159,1,0
gene_160,0.726313927344744,0
gene_161,1,0
gene_162,1,0
gene_163,0.648272429070162,0
gene_164,1,0
gene_165,1,0
gene_166,1,0
gene_167,1,0
gene_168,1,0
gene_169,1,0
gene_170,1,0
gene_171,1,0
gene_172,1,0
gene_173,0.656264608473594,0
gene_174,1,0
gene_175,1,0
gene_176,1,0
gene_177,1,0
gene_178,1,0
gene_179,1,0
gene_180,1,0
gene_181,1,0
gene_182,0.0538906047268547,0
gene_183,1,0
gene_184,0.00157872273367854,0
gene_185,1,0
gene_186,1,0
gene_187,1,0
gene_188,1,0
gene_189,1,0
gene_190,1,0
gene_191,1,0
gene_192,1,0
gene_193,1,0
gene_194,1,0
gene_195,1,0
gene_196,1,0
gene_197,1,0
gene_198,1,0
gene_199,1,0
gene_200,1,0
gene_201,1,0
gene_202,1,0
gene_203,0.890746052393244,0
gene_204,1,0
gene_205,1,0
gene_206,1,0
gene_207,1,0
gene_208,1,0
gene_209,1,0
gene_210,1,0
gene_211,1,0
gene_212,1,0
gene_213,1,0
gene_214,1,0
gene_215,1,0
gene_216,1,0
gene_217,0.641290296886046,0
gene_218,1,0
gene_219,1,0
gene_220,1,0
gene_221,1,0
gene_222,1,0
gene_223,1,0
gene_224,0.0487239708165384,0
gene_225,1,0
gene_226,1,0
gene_227,1,0
gene_228,1,0
gene_229,0.592486222720313,0
gene_230,1,0
gene_231,1,0
gene_232,0.38566327049147,0
gene_233,1,0
gene_234,1,0
gene_235,1,0
gene_236,1,0
gene_237,1,0
gene_238,0.641290296886046,0
gene_239,1,0
gene_240,1,0
gene_241,1,0
gene_242,0.087980580239359,0
gene_243,1,0
gene_244,1,0
gene_245,0.877755635595085,0
gene_246,1,0
gene_247,1,0
gene_248,1,0
gene_249,1,0
