,adjusted_pvalue,spatially_variable
gene_87,0.275210536503142,0
gene_88,1,0
gene_89,1,0
gene_90,1,0
gene_91,1,0
gene_92,0.613453254845171,0
gene_93,1,0
gene_94,1,0
gene_95,0.24708086237454,0
gene_96,1,0
gene_97,1,0
gene_98,1,0
gene_99,0.123865546551756,0
gene_100,1,0
gene_101,1,0
gene_102,1,0
gene_103,1,0
gene_104,1,0
gene_105,1,0
gene_106,1,0
gene_107,1,0
gene_108,0.561522278236641,0
gene_109,1,0
gene_110,1,0
gene_111,1,0
gene_112,1,0
gene_113,1,0
gene_114,1,0
gene_115,0.18186842513839,0
gene_116,0.383858465359249,0
gene_117,1,0
gene_118,1,0
gene_119,1,0
gene_120,1,0
gene_121,1,0
gene_122,1,0
gene_123,0.895003873234776,0
gene_124,1,0
gene_125,1,0
gene_126,0.313037295335562,0
gene_127,1,0
gene_128,1,0
gene_129,1,0
gene_130,0.608329485360195,0
gene_131,1,0
gene_132,1,0
gene_133,1,0
gene_134,1,0
gene_135,0.902844468362748,0
gene_136,1,0
gene_137,0.561522278236641,0
gene_138,1,0
gene_139,1,0
gene_140,0.211021899956185,0
gene_141,1,0
gene_142,1,0
gene_143,1,0
gene_144,1,0
gene_145,1,0
gene_146,1,0
gene_147,1,0
gene_148,1,0
gene_149,1,0
gene_150,0.500504952004448,0
gene_151,1,0
gene_152,0.258806545006483,0
gene_153,1,0
gene_154,1,0
gene_155,0.923347212424279,0
gene_156,1,0
gene_157,0.800166283868054,0
gene_158,0.430276824739553,0
gene_159,1,0
gene_160,1,0
gene_161,1,0
gene_162,1,0
gene_163,0.854043862843083,0
gene_164,0.110321446897473,0
gene_165,1,0
gene_166,1,0
gene_167,1,0
gene_168,0.561522278236641,0
gene_169,1,0
gene_170,1,0
gene_171,0.800166283868054,0
gene_172,1,0
gene_173,0.203083475350839,0
gene_174,1,0
gene_175,1,0
gene_176,1,0
gene_177,0.412091900689027,0
gene_178,1,0
gene_179,1,0
gene_180,1,0
gene_181,1,0
gene_182,0.0470170274864257,0
gene_183,1,0
gene_184,0.0024899017161923,0
gene_185,1,0
gene_186,1,0
gene_187,1,0
gene_188,1,0
gene_189,1,0
gene_190,1,0
gene_191,1,0
gene_192,1,0
gene_193,1,0
gene_194,1,0
gene_195,1,0
gene_196,1,0
gene_197,1,0
gene_198,0.892615956222186,0
gene_199,1,0
gene_200,1,0
gene_201,1,0
gene_202,1,0
gene_203,0.136220377972679,0
gene_204,1,0
gene_205,1,0
gene_206,1,0
gene_207,1,0
gene_208,1,0
gene_209,0.298155576119941,0
gene_210,1,0
gene_211,1,0
gene_212,1,0
gene_213,1,0
gene_214,1,0
gene_215,1,0
gene_216,1,0
gene_217,0.586860478853015,0
gene_218,1,0
gene_219,1,0
gene_220,0.960574889892664,0
gene_221,1,0
gene_222,1,0
gene_223,1,0
gene_224,0.007800908791924,0
gene_225,1,0
gene_226,1,0
gene_227,1,0
gene_228,1,0
gene_229,0.191909586554106,0
gene_230,1,0
gene_231,1,0
gene_232,0.923347212424279,0
gene_233,1,0
gene_234,1,0
gene_235,1,0
gene_236,1,0
gene_237,1,0
gene_238,0.136220377972679,0
gene_239,1,0
gene_240,1,0
gene_241,1,0
gene_242,0.191844309297774,0
gene_243,1,0
gene_244,1,0
gene_245,1,0
gene_246,1,0
gene_247,1,0
gene_248,1,0
gene_249,1,0
