,fdrs,spatially_variable
gene_227,1.0,0
gene_228,1.0,0
gene_229,1.0,0
gene_230,1.0,0
gene_231,1.0,0
gene_232,1.0,0
gene_233,1.0,0
gene_234,1.0,0
gene_235,1.0,0
gene_236,1.0,0
gene_237,1.0,0
gene_238,1.0,0
gene_239,1.0,0
gene_240,1.0,0
gene_241,1.0,0
gene_242,1.0,0
gene_243,1.0,0
gene_244,1.0,0
gene_245,1.0,0
gene_246,1.0,0
gene_247,1.0,0
gene_248,1.0,0
gene_249,1.0,0
