,qval,spatially_variable
gene_194,0.973369373762618,0
gene_195,0.973369373762618,0
gene_196,0.973369373762618,0
gene_197,0.973369373762618,0
gene_198,0.973369373762618,0
gene_199,0.5342130012807065,0
gene_200,0.973369373762618,0
gene_201,0.973369373762618,0
gene_202,0.973369373762618,0
gene_203,0.973369373762618,0
gene_204,0.973369373762618,0
gene_205,0.973369373762618,0
gene_206,0.973369373762618,0
gene_207,0.973369373762618,0
gene_208,0.973369373762618,0
gene_209,0.973369373762618,0
gene_210,0.973369373762618,0
gene_211,0.973369373762618,0
gene_212,0.973369373762618,0
gene_213,0.973369373762618,0
gene_214,0.973369373762618,0
gene_215,0.973369373762618,0
gene_216,0.973369373762618,0
gene_217,0.973369373762618,0
gene_218,0.973369373762618,0
gene_219,0.973369373762618,0
gene_220,0.5648606881876411,0
gene_221,0.973369373762618,0
gene_222,0.973369373762618,0
gene_223,0.973369373762618,0
gene_224,0.973369373762618,0
gene_225,0.973369373762618,0
gene_226,0.973369373762618,0
gene_227,0.973369373762618,0
gene_228,0.9694512280596693,0
gene_229,0.973369373762618,0
gene_230,0.973369373762618,0
gene_231,0.973369373762618,0
gene_232,0.973369373762618,0
gene_233,0.973369373762618,0
gene_234,0.973369373762618,0
gene_235,0.973369373762618,0
gene_236,0.973369373762618,0
gene_237,0.973369373762618,0
gene_238,0.973369373762618,0
gene_239,0.973369373762618,0
gene_240,0.973369373762618,0
gene_241,0.973369373762618,0
gene_242,0.973369373762618,0
gene_243,0.973369373762618,0
gene_244,0.973369373762618,0
gene_245,0.973369373762618,0
gene_246,0.973369373762618,0
gene_247,0.973369373762618,0
gene_248,0.973369373762618,0
gene_249,0.973369373762618,0
