,adjusted_pvalue,spatially_variable
gene_116,1,0
gene_117,1,0
gene_118,1,0
gene_119,1,0
gene_120,1,0
gene_121,1,0
gene_122,1,0
gene_123,1,0
gene_124,0.621161506523671,0
gene_125,1,0
gene_126,1,0
gene_127,1,0
gene_128,1,0
gene_129,0.854463175648263,0
gene_130,1,0
gene_131,1,0
gene_132,1,0
gene_133,1,0
gene_134,1,0
gene_135,1,0
gene_136,1,0
gene_137,1,0
gene_138,0.540314835398954,0
gene_139,1,0
gene_140,1,0
gene_141,1,0
gene_142,1,0
gene_143,1,0
gene_144,1,0
gene_145,1,0
gene_146,1,0
gene_147,0.00120042716616568,0
gene_148,1,0
gene_149,1,0
gene_150,1,0
gene_151,1,0
gene_152,1,0
gene_153,1,0
gene_154,1,0
gene_155,1,0
gene_156,1,0
gene_157,1,0
gene_158,1,0
gene_159,1,0
gene_160,1,0
gene_161,1,0
gene_162,0.176690028070102,0
gene_163,1,0
gene_164,1,0
gene_165,0.0482108236165857,0
gene_166,1,0
gene_167,1,0
gene_168,1,0
gene_169,0.194836425053459,0
gene_170,1,0
gene_171,1,0
gene_172,1,0
gene_173,1,0
gene_174,1,0
gene_175,0.0760142681212731,0
gene_176,1,0
gene_177,1,0
gene_178,1,0
gene_179,1,0
gene_180,1,0
gene_181,1,0
gene_182,1,0
gene_183,1,0
gene_184,1,0
gene_185,1,0
gene_186,0.898561644440026,0
gene_187,0.0896125663629565,0
gene_188,1,0
gene_189,1,0
gene_190,1,0
gene_191,1,0
gene_192,1,0
gene_193,1,0
gene_194,1,0
gene_195,1,0
gene_196,0.866080341563373,0
gene_197,1,0
gene_198,1,0
gene_199,1,0
gene_200,1,0
gene_201,0.0404276741571361,0
gene_202,1,0
gene_203,1,0
gene_204,1,0
gene_205,0.0427726234830596,0
gene_206,0.846070038358951,0
gene_207,1,0
gene_208,1,0
gene_209,0.0329631601209271,0
gene_210,1,0
gene_211,1,0
gene_212,1,0
gene_213,1,0
gene_214,1,0
gene_215,1,0
gene_216,1,0
gene_217,1,0
gene_218,1,0
gene_219,1,0
gene_220,1,0
gene_221,1,0
gene_222,1,0
gene_223,1,0
gene_224,1,0
gene_225,1,0
gene_226,1,0
gene_227,1,0
gene_228,1,0
gene_229,1,0
gene_230,1,0
gene_231,1,0
gene_232,1,0
gene_233,1,0
gene_234,0.583049408160085,0
gene_235,1,0
gene_236,1,0
gene_237,1,0
gene_238,1,0
gene_239,1,0
gene_240,1,0
gene_241,1,0
gene_242,1,0
gene_243,1,0
gene_244,1,0
gene_245,1,0
gene_246,1,0
gene_247,1,0
gene_248,1,0
gene_249,1,0
